thread nodes time
2123 1609 491.412231
2124 1 491.412231
2125 1747 491.412231
2126 1 491.412231
2127 3327 491.412231
2160 0 491.412231
2161 0 491.412231
2162 0 491.412231
2163 3260 491.412231
2164 1686 491.412231
2165 1693 491.412231
2166 1653 491.412231
2167 1 491.412231
2168 1631 491.412231
2169 0 491.412231
2170 1 491.412231
2171 1699 491.412231
2172 1660 491.412231
2173 1670 491.412231
2174 1655 491.412231
2175 3345 491.412231
1360 1664 491.548676
1361 1639 491.548676
1362 0 491.548676
1363 0 491.548676
1364 1 491.548676
1365 0 491.548676
1366 1642 491.548676
1367 3 491.548676
1368 0 491.548676
1369 0 491.548676
1370 0 491.548676
1371 0 491.548676
1372 1621 491.548676
1373 3283 491.548676
1374 0 491.548676
1375 1625 491.548676
1408 1663 491.548676
1409 1676 491.548676
1410 1 491.548676
1411 1585 491.548676
1412 0 491.548676
1413 1624 491.548676
1414 1620 491.548676
1415 1636 491.548676
1416 0 491.548676
1417 1658 491.548676
1418 3261 491.548676
1419 1592 491.548676
1420 1651 491.548676
1421 3309 491.548676
1422 0 491.548676
1423 3270 491.548676
1552 1688 496.322876
1553 1636 496.322876
1554 1657 496.322876
1555 0 496.322876
1556 1 496.322876
1557 1 496.322876
1558 0 496.322876
1559 0 496.322876
1560 0 496.322876
1561 1655 496.322876
1562 0 496.322876
1563 1622 496.322876
1564 1 496.322876
1565 1661 496.322876
1566 1673 496.322876
1567 3 496.322876
1600 1599 496.322876
1601 0 496.322876
1602 1 496.322876
1603 0 496.322876
1604 1 496.322876
1605 1641 496.322876
1606 0 496.322876
1607 1672 496.322876
1608 1665 496.322876
1609 1695 496.322876
1610 1 496.322876
1611 4948 496.322876
1612 4983 496.322876
1613 1640 496.322876
1614 4887 496.322876
1615 0 496.322876
400 1693 502.892853
401 1 502.892853
402 1587 502.892853
403 1647 502.892853
404 1 502.892853
405 0 502.892853
406 3319 502.892853
407 1611 502.892853
408 3298 502.892853
409 0 502.892853
410 0 502.892853
411 1604 502.892853
412 1629 502.892853
413 1621 502.892853
414 3299 502.892853
415 0 502.892853
448 0 502.892853
449 1 502.892853
450 8 502.892853
451 0 502.892853
452 1681 502.892853
453 1635 502.892853
454 0 502.892853
455 1 502.892853
456 1659 502.892853
457 0 502.892853
458 0 502.892853
459 0 502.892853
460 1623 502.892853
461 0 502.892853
462 1636 502.892853
463 1618 502.892853
1952 0 510.863739
1953 0 510.863739
1954 1650 510.863739
1955 0 510.863739
1956 7 510.863739
1957 0 510.863739
1958 1563 510.863739
1959 0 510.863739
1960 1681 510.863739
1961 3235 510.863739
1962 0 510.863739
1963 1 510.863739
1964 2 510.863739
1965 1 510.863739
1966 1 510.863739
1967 1 510.863739
2000 1685 510.863739
2001 1 510.863739
2002 1688 510.863739
2003 0 510.863739
2004 1 510.863739
2005 1669 510.863739
2006 1605 510.863739
2007 1679 510.863739
2008 3350 510.863739
2009 4918 510.863739
2010 3333 510.863739
2011 1636 510.863739
2012 0 510.863739
2013 3338 510.863739
2014 0 510.863739
2015 3268 510.863739
1648 0 509.877045
1649 0 509.877045
1650 1640 509.877045
1651 1674 509.877045
1652 0 509.877045
1653 1670 509.877045
1654 1617 509.877045
1655 1 509.877045
1656 1689 509.877045
1657 1 509.877045
1658 0 509.877045
1659 0 509.877045
1660 3344 509.877045
1661 1691 509.877045
1662 1644 509.877045
1663 1676 509.877045
1696 5000 509.877045
1697 0 509.877045
1698 0 509.877045
1699 1656 509.877045
1700 1675 509.877045
1701 0 509.877045
1702 1628 509.877045
1703 1622 509.877045
1704 1595 509.877045
1705 1 509.877045
1706 1621 509.877045
1707 1672 509.877045
1708 1670 509.877045
1709 0 509.877045
1710 1632 509.877045
1711 1664 509.877045
800 1 511.919220
801 0 511.919220
802 2 511.919220
803 3337 511.919220
804 5009 511.919220
805 0 511.919220
806 1 511.919220
807 1 511.919220
808 1 511.919220
809 1586 511.919220
810 0 511.919220
811 0 511.919220
812 1641 511.919220
813 1 511.919220
814 3278 511.919220
815 1663 511.919220
848 1663 511.919220
849 2 511.919220
850 1 511.919220
851 5 511.919220
852 1 511.919220
853 3354 511.919220
854 0 511.919220
855 1681 511.919220
856 1670 511.919220
857 0 511.919220
858 1655 511.919220
859 1 511.919220
860 3247 511.919220
861 3 511.919220
862 1655 511.919220
863 1668 511.919220
592 2 512.042908
593 1659 512.042908
594 3 512.042908
595 1688 512.042908
596 0 512.042908
597 0 512.042908
598 1 512.042908
599 3231 512.042908
600 0 512.042908
601 1595 512.042908
602 1 512.042908
603 10 512.042908
604 1668 512.042908
605 1 512.042908
606 1683 512.042908
607 1671 512.042908
640 1666 512.042908
641 1 512.042908
642 1639 512.042908
643 3254 512.042908
644 1653 512.042908
645 1604 512.042908
646 3320 512.042908
647 0 512.042908
648 3285 512.042908
649 1608 512.042908
650 0 512.042908
651 1 512.042908
652 1 512.042908
653 3274 512.042908
654 1616 512.042908
655 0 512.042908
960 0 514.184143
961 0 514.184143
962 0 514.184143
963 1642 514.184143
964 5 514.184143
965 1 514.184143
966 1656 514.184143
967 1660 514.184143
968 2 514.184143
969 1623 514.184143
970 3285 514.184143
971 1624 514.184143
972 1659 514.184143
973 3320 514.184143
974 2 514.184143
975 1629 514.184143
1008 1613 514.184143
1009 1 514.184143
1010 1635 514.184143
1011 1653 514.184143
1012 1675 514.184143
1013 0 514.184143
1014 0 514.184143
1015 1 514.184143
1016 2 514.184143
1017 1659 514.184143
1018 1 514.184143
1019 1 514.184143
1020 1 514.184143
1021 3193 514.184143
1022 1604 514.184143
1023 1604 514.184143
1168 1660 516.888000
1169 1 516.888000
1170 0 516.888000
1171 1 516.888000
1172 1624 516.888000
1173 1686 516.888000
1174 3289 516.888000
1175 1684 516.888000
1176 1638 516.888000
1177 1 516.888000
1178 3300 516.888000
1179 2 516.888000
1180 0 516.888000
1181 0 516.888000
1182 1642 516.888000
1183 3265 516.888000
1216 1689 516.888000
1217 1656 516.888000
1218 3304 516.888000
1219 0 516.888000
1220 1588 516.888000
1221 1 516.888000
1222 1613 516.888000
1223 1653 516.888000
1224 0 516.888000
1225 1676 516.888000
1226 0 516.888000
1227 1640 516.888000
1228 0 516.888000
1229 1 516.888000
1230 1620 516.888000
1231 1659 516.888000
1376 3246 519.774292
1377 1609 519.774292
1378 1 519.774292
1379 1660 519.774292
1380 1662 519.774292
